Index,Text,Label
0_137,丽泽那边树也倒了,0
0_15,直击级台风贝碧嘉破坏力 本小区邻街商户拍到的景象上海一路超话上海身边事,0
1_101,我家门口就没有一颗站着的树,1
0_97,路牌都倒了,0
0_2,台风后和邻居积极参与道路清障垃圾清运等灾后恢复工作,0
144,台风后的空为什么是粉红色的,3
101,突如其来轰轰烈烈的终于把燥热收回雨后观天终于明白什么叫作台风过境在南方又偏内陆的城市一般都会下大雨这是台风被过滤后的讯息,3
2_19,文昌市挨着海口市这次受灾最惨重那里都是朴实的农民养殖业种植业一个小小的城市损失几百个亿希望网络可以有力量帮助文昌十年前威马逊就是海南人民默默扛过去十年后的今天请给海南温暖与光～城市破破烂烂心里惨惨淡淡,2
1_198,在这场突如其来的暴雨中我们看到了南阳人民的坚韧与团结他们面对灾难没有退缩而是勇敢地站了出来积极自救互相帮助,1
108,台风刚过不久海水比较浑浊并且浪比较大天气时不时下大暴雨或是阴天没有眼前一浪大感觉大东海全是外国人近期来的谨慎选择,3
0_38,海南岛北部被台风摩羯肆虐在各方人员的努力下这两天海口主城区大部分地方都来电了可是农村老家至今没水没电没网电话也打不通去镇上的路也是村民自己开路电线路至今没有来看过电线已经被吹倒的树压的乱七八糟,0
2_15,台风摩羯昨天下午登陆海口点开始停水停电没信号一夜急风骤雨早晨点多钟出门查看损失好多汽车被树木砸坏好多商铺广告牌被吹飞铁皮房顶被掀翻活动板房被吹跑老房屋顶瓦片不翼而飞百年老树几人合抱的大树被连根拔起整条街的树木都被放倒空调外机高空坠落听说昨天下午已经有人yunan,2
66,这个台风会不会倒了四周没有挡风的还是在河堤上,3
1_62,关着窗户没感觉风很大但看见外面外机栅栏都飞了,1
2_201,热带气旋裘德还造成了约万所房屋的损毁这使得大量民众失去了家园,2
138,台风过境后的华政好美,3
2_87,龙楼镇海石滩贰号周边最差质量小区半数以上玻璃炸掉周边的其它两个小区我都去看过了泰山七号和另外一个雅居乐的盘损失都不大玻璃损坏的都很少,2
1_2,被台风摩羯后一片废墟第四天好多地方没电没水海南岛民在修整中谢谢兵哥哥们[努力][努力]一方有难八方支援,1
131,被台风暴雨冲洗过后的天空是如此的清澈如同被洗净的画卷此时的心境亦如此恬然自得乐观豁达便好,3
2_151,丰台小清河桥本身车流不大桥面北边一半长期被当地居民当作停车场所以虽然掉下去几辆车但是没有造成人员伤亡,2
2_35,坐标海口图片来源台风摩羯过境后海口朋友发出的一线实况那些拿台风开玩笑的都是没经历过超强台风的,2
155,突如其来轰轰烈烈的终于把燥热收回雨后观天终于明白什么叫作台风过境,3
0_220,外机安装都不做固定吗这什么豆腐渣工程直接摆烂也不能害人看看楼上楼下的空调外机安装都有固定架就大金什么都没有,0
37,天气预报说有超级大风那可太适合躺在床上睡觉啦就想这样宅在家一个人宅家宅家也有氛围感,3
0_213,小区辛辛苦苦种的树被台风连根拔了不下十棵树枝折断的那是数不胜数想说这算不算是轻的了你们那还好吗,0
0_99,上海商场里的树也倒下了,0
1_177,大树横卧路面根部泥土翻起树冠压住车辆前盖电缆缠绕其间,1
98,台风带来的大量水汽和云层聚集使得天空变得阴沉在这样的条件下太阳光在穿过厚厚的云层时会发生多次散射和折射,3
2_181,一场突如其来的级地震让曼德勒市瞬间变成了废墟之城楼房倒塌碎石遍地曾经繁华的街道如今满目疮痍一片狼藉而在这场灾难中有多名中国玉石商人被困在了废墟之下生死未卜,2
1_26,sst刚修好的新操场台风一过天塌了,1
122,我们这边农村也出现过这种然后我爷爷还打开那个门然后之后我都不敢看他一边打雷一边下雨然后呢天空又是粉色的,3
7,台风来势汹汹昨天下午开始就全市停工停运于是周末不小心就被充值了于是这个周末我和猫狗都没出门就宅在家里不到平的出租房此时是最好的安居小窝足不出户也能在家玩耍做自己的事情,3
59,风过后的天气赶走了那闷热的气候开始变得凉爽无论经历了什么无论之前如何凌乱风雨过后的生活依旧会恢复到往常的状态依旧会恢复到一个像什么都没有发生过的样子,3
1_90,我们宿舍大门,1
2_144,愿所有人都平安,2
1_137,百花二路这一次是真的惨,1
41,起来透过窗帘一看夜色里巨人般的树影正上下左右狂摇宛如长发树精在跳劲歌热舞还是钢管舞结果这一跳一嚷就是好几个小时一直睡到日上三竿睡醒后屋里还是黑压压一片,3
1_40,欢呼完之后担心我们那个没有窗的宿舍,1
1_7,金桥公园的树倒的倒断的断,1
167,台风过境后武汉迎来绝美晚霞相机拍不出粉色晕染的天空和落日余晖江边和好友散步一整个开心惬意,3
0_219,今天又去鼋头渚数了更惨不忍堵我都想大哭都是几十年的大树尤其是松柏,0
0_87,我总觉得不是风大是北京太干树木太容易吹断了而且城市化导致这些植物根本扎根不深,0
178,雨还能再大一点么风还能再猛一点么第一次实实在在感受到了落汤鸡,3
1_44,我们小区,1
0_145,已经飞了一块板了,0
100,台风过境朝霞满天流光飞舞,3
0_58,我们小区楼下坐标松江,0
